,0
0,1.126608287747222
1,2.5370386013103725
2,1.0608043982577462
3,-0.9212405326824771
4,0.4875439754394425
5,-0.7044651376097008
6,1.471632019267867
7,-0.9352400146965276
8,0.5408303701600058
9,0.427084665426297
10,-1.117727074489839
11,0.34309634975733216
12,1.9607928062786644
13,0.46295825145684555
14,-0.18476035697544868
15,-0.29381077751559553
16,1.0186235951014866
17,-0.1212688943015738
18,-0.09650990940296081
19,2.308488047863352
20,-0.18204882363980646
21,-0.5760614727506236
22,-1.2668180927211656
23,-0.8794759888769434
24,-1.2905808273526889
25,0.6558756183942883
26,-0.29094330935553964
27,-0.13439323542883078
28,-1.0052894030415886
29,-0.7797383425726292
30,-0.7272402850199364
31,0.5393064537731914
32,2.5394556777192467
33,0.49324425957635254
34,-0.11653020824855023
35,-0.6675432364068007
36,1.3809139030990274
37,-0.7214620334708196
38,2.2817009573123204
39,0.31618892950012695
40,-0.08288293835834279
41,-0.7628280771695173
42,-0.9836404515854538
43,-0.8499176766047014
44,-0.13119674478926108
45,1.835437234084591
46,-0.3945013588579957
47,-0.6980631467629285
48,-0.3377497458171232
49,-0.31758217519292065
50,-0.40702812308591524
51,1.5589292719108954
52,-1.0018934890876843
53,1.5408157094460568
54,-0.16513855823669496
55,0.5576540051051093
56,-0.915592226820372
57,-1.0899273605151543
58,-0.2016185574732975
59,-0.3026210084645251
60,0.6740593515301143
61,0.4957221505667478
62,0.06512519914788649
63,-0.01307611529570331
64,0.4248668390708407
65,2.1948186645631482
66,-0.9372844935055107
67,0.36747450716254315
68,-0.1953805580835339
69,0.4728514497613299
70,-0.3689973520205159
71,0.15508226674312697
72,0.30827965531447793
73,0.4704345466133714
74,-0.17504908263278068
75,0.7529623726835665
76,-0.7144969446469969
77,0.3058023707372887
78,-1.057934732372894
79,1.9166547611846356
80,-0.8855920992122903
81,0.6345823715987331
82,-0.429985194457967
83,-0.6136677545717845
84,-0.5958305432679906
85,-0.9402819073525785
86,-0.6531799064691168
87,0.5682319305496869
88,1.3446051722779069
89,0.08072734463508104
90,-0.5418251157459636
91,0.18539426400003628
92,1.1244775250020635
93,0.9741734204672556
94,-0.7042832136478847
95,-1.2450998368986235
96,1.2575331588256977
97,0.584778001507334
98,0.7032730478404011
99,-0.3423498231373345
100,-0.4614233876689775
101,0.1710395971081531
102,-1.286162673994294
103,-0.866966550740626
104,-0.09929074710500933
105,-0.4978947238597794
106,-1.2820997055137306
107,-0.7651670995357261
108,-0.6748635101084551
109,0.4969607062248847
110,-0.995075672042476
111,-0.21532358256058043
112,1.0064864946736853
113,-0.5455242363028939
114,-0.48510815488829445
115,-0.08246711215990558
116,-1.077339954966629
117,1.4519931543288846
118,-0.918884184224666
119,0.577362434301871
120,-0.20254559000443842
121,-1.1694801101036645
122,0.05764899062181821
123,1.3309957872162637
124,-0.27163338026561334
125,-1.1517555183952803
126,0.3955510920810203
127,-1.2682821474614956
128,-0.5007189634212897
129,-0.8468682844828297
130,-1.0251451040169632
131,-0.6507889058281033
132,-0.32774392791722895
133,1.4193589410146197
134,-0.42704842193150483
135,-0.1246474821638757
136,0.10889090653339821
137,-0.7227095120661322
138,-0.7887738993428364
139,-0.6786839133065964
140,0.3034052193337562
141,-0.1728313429077824
